iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  82  8.923e-02  1.124e-05  7.376e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.124e-05  3.711e-06  7.371e-06
  83  8.923e-02  1.098e-05  7.353e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.098e-05  3.700e-06  7.349e-06
  84  8.922e-02  1.072e-05  7.331e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.072e-05  3.688e-06  7.327e-06
  85  8.921e-02  1.046e-05  7.309e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.046e-05  3.677e-06  7.305e-06
  86  8.920e-02  1.020e-05  7.287e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.020e-05  3.665e-06  7.282e-06
  87  8.920e-02  9.936e-06  7.265e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.936e-06  3.654e-06  7.260e-06
  88  8.919e-02  9.675e-06  7.243e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.675e-06  3.642e-06  7.238e-06
  89  8.918e-02  9.415e-06  7.220e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.415e-06  3.631e-06  7.216e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  90  8.917e-02  9.157e-06  7.198e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.157e-06  3.619e-06  7.194e-06
  91  8.917e-02  8.901e-06  7.176e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.901e-06  3.608e-06  7.171e-06
  92  8.916e-02  8.648e-06  7.154e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.648e-06  3.596e-06  7.149e-06
  93  8.915e-02  8.397e-06  7.131e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.397e-06  3.585e-06  7.126e-06
  94  8.915e-02  8.149e-06  7.109e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.149e-06  3.573e-06  7.104e-06
  95  8.914e-02  7.905e-06  7.086e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.905e-06  3.561e-06  7.081e-06
  96  8.913e-02  7.664e-06  7.064e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.664e-06  3.550e-06  7.059e-06
  97  8.912e-02  7.426e-06  7.041e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.426e-06  3.538e-06  7.036e-06
  98  8.912e-02  7.193e-06  7.018e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.193e-06  3.526e-06  7.013e-06
  99  8.911e-02  6.964e-06  6.996e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.964e-06  3.515e-06  6.990e-06
