*** SOLVE initial ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  47  1.18769e+03  7.40856e-04  2.34958e-02  1.00000e-09  1.00000e-09   0.5000     1
  48  1.18768e+03  4.85873e-04  1.82512e-02  1.00000e-09  1.00000e-09   0.5000     1
*** SOLVE lateral ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  3.88331e+04  5.51190e+03  1.32978e+05  1.00000e-09  1.00000e-09   0.2500     1
   1  1.11703e+04  3.31780e+03  7.53525e+04  1.00000e-09  1.00000e-09   0.5000     1
   2  6.79508e+03  7.38119e+03  2.00796e+04  1.00000e-09  1.00000e-09   0.2500     1
   3  4.31764e+03  4.72105e+03  1.13671e+04  1.00000e-09  1.00000e-09   0.2500     1
   4  2.94201e+03  3.13351e+03  6.44994e+03  1.00000e-09  1.00000e-09   0.2500     1
   5  2.29465e+03  1.98730e+03  3.72940e+03  1.00000e-09  1.00000e-09   0.5000     1
   6  1.69299e+03  5.97648e+03  2.48989e+03  1.00000e-09  1.00000e-09   0.5000     1
   7  1.41475e+03  4.15269e+03  1.27296e+03  1.00000e-09  1.00000e-09   1.0000     1
   8  1.06550e+03  4.23439e+03  7.22801e+02  1.00000e-09  1.00000e-09   1.0000     1
   9  1.05489e+03  1.42975e+02  2.68814e+01  1.00000e-09  1.00000e-09   1.0000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  10  1.05396e+03  1.41401e+00  8.38248e+00  1.00000e-09  1.00000e-09   0.5000     1
  11  1.05314e+03  9.50712e-01  3.09863e+00  1.00000e-09  1.00000e-09   1.0000     1
  12  1.05274e+03  7.10445e-01  2.44113e+00  1.00000e-09  1.00000e-09   0.5000     1
  13  1.05265e+03  1.83695e-01  4.36308e-01  1.00000e-09  1.00000e-09   0.5000     1
  14  1.05263e+03  5.04402e-02  8.40941e-02  1.00000e-09  1.00000e-09   1.0000     1
  15  1.05261e+03  9.22122e-04  1.19753e-01  1.00000e-09  1.00000e-09   0.5000     1
  16  1.05261e+03  3.31290e-04  1.81043e-02  1.00000e-09  1.00000e-09   0.5000     1
*** SOLVE twist ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  6.22969e+05  1.00927e+07  4.50669e+06  1.00000e-09  1.00000e-09   0.5000     1
   1  1.08426e+05  3.02685e+06  1.24408e+06  1.00000e-09  1.00000e-09   1.0000     1
   2  6.89242e+04  1.22580e+06  2.14523e+05  1.00000e-09  1.00000e-09   0.5000     1
   3  3.07861e+04  6.92457e+05  1.35429e+05  1.00000e-09  1.00000e-09   1.0000     1
   4  5.68255e+03  3.33430e+05  5.94621e+04  1.00000e-09  1.00000e-09   0.5000     1
   5  4.08199e+03  4.85226e+04  9.36916e+03  1.00000e-09  1.00000e-09   0.2500     1
   6  2.45310e+03  3.14501e+04  6.15714e+03  1.00000e-09  1.00000e-09   0.5000     1
   7  1.38366e+03  1.49106e+04  2.92209e+03  1.00000e-09  1.00000e-09   1.0000     1
   8  1.07504e+03  4.43455e+03  8.10860e+02  1.00000e-09  1.00000e-09   1.0000     1
   9  9.94690e+02  6.95521e+02  2.19863e+02  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  10  9.84237e+02  1.42671e+02  4.43064e+01  1.00000e-09  1.00000e-09   0.5000     1
  11  9.83124e+02  4.60607e+01  2.16271e+01  1.00000e-09  1.00000e-09   1.0000     1
  12  9.78410e+02  2.76232e+01  3.40236e+01  1.00000e-09  1.00000e-09   0.2500     1
  13  9.75193e+02  1.76926e+01  7.57594e+00  1.00000e-09  1.00000e-09   1.0000     1
  14  9.74938e+02  8.52533e-01  2.61818e+00  1.00000e-09  1.00000e-09   0.5000     1
  15  9.74811e+02  2.68166e-01  1.35154e+00  1.00000e-09  1.00000e-09   0.5000     1
  16  9.74729e+02  9.71012e-02  8.18081e-01  1.00000e-09  1.00000e-09   0.5000     1
  17  9.74675e+02  4.80217e-02  4.85031e-01  1.00000e-09  1.00000e-09   0.5000     1
  18  9.74639e+02  1.89536e-02  3.01566e-01  1.00000e-09  1.00000e-09   0.5000     1
  19  9.74614e+02  1.00842e-02  1.83609e-01  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  20  9.74597e+02  4.19655e-03  1.16278e-01  1.00000e-09  1.00000e-09   0.5000     1
  21  9.74586e+02  2.34697e-03  7.31736e-02  1.00000e-09  1.00000e-09   0.5000     1
  22  9.74577e+02  1.06761e-03  4.75507e-02  1.00000e-09  1.00000e-09   0.5000     1
  23  9.74571e+02  7.01144e-04  3.09683e-02  1.00000e-09  1.00000e-09   0.5000     1
  24  9.74567e+02  3.62080e-04  2.06915e-02  1.00000e-09  1.00000e-09   0.5000     1
