*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  72  2.046e+03  5.809e-09  4.630e-12  1.000e+03  1.000e+03  0.0312  0.000e+00  1.424e-13  4.547e-13
  73  2.046e+03  5.836e-09  4.651e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.075e-15  -2.956e-12
  74  2.046e+03  5.830e-09  4.684e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.342e-13  -3.820e-11
  75  2.046e+03  5.823e-09  4.640e-12  1.000e+04  1.000e+04  0.0078  0.000e+00  3.611e-14  5.230e-12
  76  2.046e+03  5.821e-09  4.675e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.338e-13  -4.684e-11
  77  2.046e+03  5.810e-09  4.630e-12  1.000e+03  1.000e+03  0.0156  0.000e+00  7.177e-14  4.547e-13
  78  2.046e+03  5.807e-09  4.627e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.028e-15  -3.865e-12
  79  2.046e+03  5.801e-09  4.659e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.329e-13  -3.047e-11
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  80  2.046e+03  5.818e-09  4.635e-12  1.000e+04  1.000e+04  0.0078  0.000e+00  3.607e-14  8.640e-12
  81  2.046e+03  5.791e-09  4.651e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.326e-13  -4.775e-11
  82  2.046e+03  5.785e-09  4.610e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  8.995e-15  -1.091e-11
  83  2.046e+03  5.777e-09  4.641e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.320e-13  -2.615e-11
  84  2.046e+03  5.771e-09  4.599e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  8.974e-15  -5.457e-12
  85  2.046e+03  5.763e-09  4.630e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.315e-13  -6.526e-11
  86  2.046e+03  5.791e-09  4.614e-12  1.000e+04  1.000e+04  0.0039  0.000e+00  1.799e-14  3.183e-12
  87  2.046e+03  5.782e-09  4.644e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.322e-13  -4.570e-11
  88  2.046e+03  5.754e-09  4.586e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  8.947e-15  -1.273e-11
  89  2.046e+03  5.745e-09  4.615e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.308e-13  -4.002e-11
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  90  2.046e+03  5.776e-09  4.602e-12  1.000e+04  1.000e+04  0.0039  0.000e+00  1.794e-14  1.137e-12
  91  2.046e+03  5.765e-09  4.632e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.316e-13  -1.705e-11
